Date,Open,High,Low,Close,Volume,Market Cap
09-03-2019,10345.73,10736.10,10308.55,10623.54,19384917989,"190,312,487,956"
09-02-2019,9757.47,10396.59,9730.65,10346.76,17248102294,"185,333,114,163"
09-01-2019,9630.59,9796.76,9582.94,9757.97,11445355859,"174,768,292,883"
31-08-2019,9597.54,9673.22,9531.80,9630.66,11454806419,"172,470,743,516"
30-08-2019,9514.84,9656.12,9428.30,9598.17,13595263986,"171,869,216,524"
29-08-2019,9756.79,9756.79,9421.63,9510.20,17045878501,"170,274,910,132"
28-08-2019,10203.43,10279.37,9716.66,9754.42,17603790323,"174,627,460,400"
27-08-2019,10372.83,10381.33,10087.30,10185.50,14762609503,"182,325,540,955"
26-08-2019,10126.30,10512.33,10126.30,10370.82,18438654080,"185,625,235,889"
25-08-2019,10160.74,10304.62,10008.79,10138.52,14153856610,"181,450,186,164"
24-08-2019,10407.64,10418.02,9982.30,10159.96,15451030650,"181,813,631,752"
23-08-2019,10136.31,10442.44,10078.19,10407.97,15627023886,"186,231,409,722"
22-08-2019,10142.52,10233.00,9831.46,10131.06,17097508856,"181,257,125,783"
21-08-2019,10764.57,10798.73,9962.72,10138.05,19473084768,"181,364,502,142"
20-08-2019,10916.35,10947.04,10618.96,10763.23,15053082175,"192,530,283,565"
19-08-2019,10350.28,10916.05,10313.20,10916.05,16038264603,"195,243,306,008"
18-08-2019,10233.01,10487.07,10119.09,10345.81,12999813869,"185,022,920,955"
17-08-2019,10358.72,10452.62,10086.70,10231.74,13778035685,"182,966,857,173"
16-08-2019,10319.42,10524.35,9855.48,10374.34,20228207096,"185,500,055,339"
15-08-2019,10038.42,10437.41,9675.32,10311.55,22899115082,"184,357,666,577"
14-08-2019,10889.49,10889.56,10028.14,10051.70,19990838300,"179,692,803,424"
13-08-2019,11385.05,11420.05,10830.33,10895.83,16681503537,"194,762,696,644"
08-12-2019,11528.19,11528.19,11320.95,11382.62,13647198229,"203,441,494,985"
08-11-2019,11349.74,11523.58,11248.29,11523.58,15774371518,"205,941,632,235"
08-10-2019,11861.56,11915.66,11323.90,11354.02,18125355447,"202,890,020,455"
08-09-2019,11953.47,11970.46,11709.75,11862.94,18339989960,"211,961,319,133"
08-08-2019,11954.04,11979.42,11556.17,11966.41,19481591730,"213,788,089,212"
08-07-2019,11476.19,12036.99,11433.70,11941.97,22194988641,"213,330,426,789"
08-06-2019,11811.55,12273.82,11290.73,11478.17,23635107660,"205,023,347,814"
08-05-2019,10960.74,11895.09,10960.74,11805.65,23875988832,"210,848,822,060"
08-04-2019,10821.63,11009.21,10620.28,10970.18,16530894787,"195,907,875,403"
08-03-2019,10519.28,10946.78,10503.50,10821.73,15352685061,"193,233,960,601"
08-02-2019,10402.04,10657.95,10371.01,10518.17,17489094082,"187,791,090,996"
08-01-2019,10077.44,10446.92,9922.02,10399.67,17165337858,"185,653,203,391"
31-07-2019,9604.05,10085.63,9598.10,10085.63,16631520648,"180,028,959,603"
30-07-2019,9522.33,9701.76,9437.34,9607.42,13829811132,"171,472,452,506"
29-07-2019,9548.18,9681.65,9472.95,9519.15,13791445323,"169,880,343,827"
28-07-2019,9491.63,9575.55,9252.30,9552.86,13738687093,"170,461,958,074"
27-07-2019,9871.16,10167.32,9411.52,9477.68,16817809536,"169,099,540,423"
26-07-2019,9913.13,9916.52,9717.98,9870.30,14495714483,"176,085,968,354"
25-07-2019,9809.10,10154.25,9773.96,9911.84,15821952090,"176,806,451,137"
24-07-2019,9887.73,9908.80,9614.31,9811.93,17398734322,"175,005,760,794"
23-07-2019,10346.75,10346.75,9883.60,9900.77,17851916995,"176,572,890,702"
22-07-2019,10596.95,10651.79,10154.92,10343.11,16334414913,"184,443,440,748"
21-07-2019,10777.53,10841.89,10389.60,10599.11,17130580467,"188,987,475,962"
20-07-2019,10525.82,11048.66,10451.28,10767.14,20206615155,"191,963,691,255"
19-07-2019,10653.96,10716.98,10229.63,10530.73,20727426310,"187,725,578,628"
18-07-2019,9698.50,10736.84,9376.80,10666.48,25187024648,"190,129,918,121"
17-07-2019,9471.21,9963.13,9163.13,9693.80,24569921549,"172,777,250,515"
16-07-2019,10896.65,10996.63,9448.11,9477.64,24151199070,"168,908,640,950"
15-07-2019,10257.84,11052.77,9992.01,10895.09,25384047207,"194,147,627,475"
14-07-2019,11381.02,11451.20,10234.58,10256.06,22486000001,"182,741,933,552"
13-07-2019,11813.13,11841.96,10908.48,11392.38,21042616384,"202,968,191,001"
07-12-2019,11354.30,11905.49,11179.14,11815.99,23534692797,"210,494,417,832"
07-11-2019,12139.71,12144.62,11158.92,11358.66,28595327690,"202,324,174,692"
07-10-2019,12571.54,13129.53,11710.98,12156.51,33627574244,"216,515,999,522"
07-09-2019,12284.33,12779.13,12233.26,12573.81,28167921523,"223,928,128,583"
07-08-2019,11446.60,12345.83,11393.37,12285.96,23482551458,"218,778,355,444"
07-07-2019,11217.62,11541.62,11148.80,11450.85,19369044277,"203,881,891,346"
07-06-2019,10982.54,11620.97,10982.54,11208.55,21092024306,"199,546,110,914"
07-05-2019,11203.10,11395.66,10874.96,10978.46,23838480210,"195,424,678,267"
07-04-2019,11972.72,12006.08,11166.57,11215.44,25920294033,"199,617,404,432"
07-03-2019,10818.16,11968.08,10818.16,11961.27,30796494294,"212,867,079,175"
07-02-2019,10588.68,10912.19,9737.88,10801.68,31015895223,"192,206,536,806"
07-01-2019,10796.93,11206.44,10089.31,10583.13,29378589324,"188,297,637,574"
